paper_id,method,difficulty,Kimi-128k_L3a,Kimi-128k_L3b,Kimi-128k_detected,Claude-Sonnet_L3a,Claude-Sonnet_L3b,Claude-Sonnet_detected,GPT-4o_L3a,GPT-4o_L3b,GPT-4o_detected,o3_L3a,o3_L3b,o3_detected,Claude-Opus_L3a,Claude-Opus_L3b,Claude-Opus_detected,Gemini-2.5_L3a,Gemini-2.5_L3b,Gemini-2.5_detected
paper_226,RDD,medium,0,0,DID,0,1,DID,0,1,DID,0,0,DID,0,1,DID,0,0,DID
paper_227,DID,medium,0,1,EVENT_STUDY,1,1,DID,0,1,EVENT_STUDY,0,1,EVENT_STUDY,0,1,IV,0,1,IV
paper_228,DID,hard,0,0,IV,0,1,IV,0,0,IV,0,0,IV,0,0,IV,0,0,IV
paper_229,DID,medium,1,0,DID,1,0,DID,1,1,DID,0,0,EVENT_STUDY,1,1,DID,1,0,DID
paper_230,DID,medium,1,1,DID,1,1,DID,1,0,DID,1,1,DID,0,1,RDD,1,1,DID
paper_231,DID,medium,1,0,DID,1,1,DID,1,1,DID,1,1,DID,1,1,DID,1,0,DID
paper_232,DID,hard,1,1,DID,1,1,DID,1,1,DID,1,1,DID,0,1,IV,1,1,DID
paper_233,EVENT_STUDY,medium,0,1,RDD,0,1,RDD,1,1,EVENT_STUDY,1,1,EVENT_STUDY,0,0,IV,1,1,EVENT_STUDY
paper_234,EVENT_STUDY,medium,0,0,DID,1,0,EVENT_STUDY,1,1,EVENT_STUDY,1,0,EVENT_STUDY,1,1,EVENT_STUDY,1,1,EVENT_STUDY
paper_235,EVENT_STUDY,medium,0,0,DID,0,0,DID,0,0,DID,0,1,DID,0,0,DID,0,1,DID
paper_236,EVENT_STUDY,medium,0,1,DID,0,1,DID,0,1,DID,1,1,EVENT_STUDY,0,1,RDD,0,1,DID
paper_237,EVENT_STUDY,hard,0,1,IV,0,1,IV,0,0,IV,0,1,IV,0,0,IV,0,1,IV
paper_238,EVENT_STUDY,hard,0,0,DID,0,0,DID,0,0,DID,0,1,IV,0,1,DID,0,0,DID
paper_239,EVENT_STUDY,medium,0,1,DID,0,1,DID,0,1,DID,0,1,IV,0,1,DID,0,1,DID
paper_240,EVENT_STUDY,medium,0,1,DID,0,0,DID,0,1,DID,0,0,DID,1,0,EVENT_STUDY,0,0,DID
paper_241,EVENT_STUDY,medium,0,0,DID,0,1,,0,1,DID,0,0,DID,0,0,,0,0,DID
paper_242,IV,medium,0,0,DID,0,0,EVENT_STUDY,0,1,DID,0,1,DID,0,0,EVENT_STUDY,0,1,DID
paper_243,IV,medium,0,1,DID,0,1,RDD,0,1,DID,1,1,IV,1,1,IV,0,1,DID
paper_244,IV,medium,0,1,DID,1,1,IV,1,1,IV,0,1,EVENT_STUDY,1,0,IV,1,1,IV
paper_245,IV,hard,0,0,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,0,DID
paper_246,IV,medium,0,1,RDD,0,1,,0,1,,1,1,IV,1,1,IV,0,1,RDD
paper_247,IV,medium,0,1,DID,0,1,DID,0,1,DID,0,1,EVENT_STUDY,0,1,RDD,0,1,DID
paper_248,IV,medium,0,1,DID,0,1,DID,0,0,DID,0,0,DID,1,1,IV,0,1,DID
paper_249,IV,hard,0,1,DID,1,1,IV,0,1,DID,0,1,DID,1,1,IV,1,1,IV
paper_250,IV,medium,0,1,DID,1,0,IV,1,1,IV,1,1,IV,1,1,IV,1,1,IV
paper_251,IV,medium,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,0,DID,0,1,DID
paper_252,IV,medium,0,1,DID,0,1,DID,0,1,DID,0,1,EVENT_STUDY,1,1,IV,0,1,DID
paper_253,RDD,hard,0,0,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID,0,1,DID
paper_254,RDD,medium,1,1,RDD,1,0,RDD,1,0,RDD,1,1,RDD,1,0,RDD,1,0,RDD
paper_255,RDD,hard,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_256,RDD,medium,1,0,RDD,1,1,RDD,1,1,RDD,1,0,RDD,1,1,RDD,1,1,RDD
paper_257,RDD,medium,0,1,DID,0,0,EVENT_STUDY,0,1,DID,0,1,IV,0,0,EVENT_STUDY,0,0,EVENT_STUDY
paper_258,RDD,medium,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD,1,1,RDD
paper_259,RDD,medium,0,1,IV,0,1,IV,0,1,IV,0,1,IV,0,1,IV,0,1,IV
paper_260,RDD,medium,1,1,RDD,0,1,IV,0,1,IV,0,0,IV,0,1,IV,0,1,IV
paper_261,RDD,medium,0,1,DID,1,1,RDD,0,0,DID,0,1,DID,0,1,,0,1,
paper_262,RDD,medium,0,1,DID,0,1,DID,0,0,DID,1,0,RDD,0,0,DID,0,0,DID
